filename	idx	character	case	minTime	maxTime	rhyme	rhyme_duration	f0min	f0max	f0min_time	f0max_time	t1	t2	t3	t4	t5	t6	t7	t8	t9	t10	t11	t12	t13	t14	t15	t16	t17	t18	t19	t20
S2diaA1	1	小	Name(prefix)	0.3025	0.5025	yaw	0.06405999999999995	146.481	150.722	0.48229150677753657	0.43844	151.526	151.074	150.595	150.021	149.447	148.918	148.5	148.082	147.728	147.487	147.245	147.015	146.8	146.586	146.565	146.727	146.889	147.033	147.163	147.294
S2diaA1	2	英	Name	0.5025	0.59366	yin	0.09116000000000002	140.716	147.002	0.59366	0.5025	147.263	147.099	146.964	146.868	146.756	146.611	146.372	145.902	145.445	145.027	144.571	143.938	143.293	142.556	141.853	141.623	141.391	141.062	140.732	140.468
S2diaA1	0	儿	EXTRA	0.59366	0.68557	R	0.09191000000000005	140.181	144.62	0.595460636741682	0.673944994993657	140.208	140.313	140.459	140.572	140.679	140.79	140.901	141.104	141.334	141.565	141.797	142.181	142.632	143.108	143.597	144.034	144.437	144.612	144.618	144.387
S2diaA1	3	捏	Verb	0.68557	0.8525	yE	0.10322000000000009	129.338	143.706	0.7657505037809192	0.8382102871055342	134.913	134.106	131.192	129.594	130.297	130.915	131.464	131.854	132.186	133.513	134.916	136.159	137.594	139.522	141.072	142.186	142.98	143.601	143.256	142.658
S2diaA1	4	了	Aspect	0.8525	0.90906	o	0.02806999999999993	143.672	145.51	0.90906	0.88099	150.622	148.306	145.989	144.451	144.618	144.784	144.95	145.117	145.283	145.45	145.336	145.061	144.786	144.51	144.235	143.96	143.685	142.055	140.361	138.667
S2diaA1	5	个	Classifier	0.90906	0.99759	o	0.030139999999999945	102.499	104.125	0.99759	0.9691354875283447	104.125	104.125	104.099	104.069	104.039	104.009	103.979	103.95	103.852	103.721	103.589	103.457	103.325	103.194	103.076	102.976	102.876	102.776	102.676	102.577
S2diaA1	6	狮	Object	0.99759	1.38593	I	0.14778000000000002	92.037	134.5	1.2410104875283448	1.3635196269014904	92.037	92.202	92.976	94.837	98.237	101.746	105.157	108.493	111.917	116.13	119.267	123.021	127.416	129.599	131.485	132.503	133.359	134.383	133.396	132.224
S2diaA1	7	子	Object(suffix)	1.38593	1.5469	I	0.051509999999999945	109.115	118.12	1.5469	1.49539	121.75	120.599	119.448	118.297	116.999	115.675	114.352	113.271	113.12	112.969	112.819	112.525	112.123	111.721	111.318	110.735	110.138	109.541	108.673	107.13
S2diaN1B1	1	小	Name(prefix)	0.4233	0.6367	yaw	0.07045000000000001	154.016	163.96	0.5774498313953352	0.6367	154.607	154.523	154.357	154.19	154.024	154.478	154.963	155.449	155.996	156.634	157.271	157.909	158.588	159.273	159.959	160.739	161.733	162.726	163.72	164.593
S2diaN1B1	2	银	Name	0.6367	0.80193	in	0.13362000000000007	125.915	165.788	0.80193	0.66831	165.848	165.815	165.073	160.969	156.872	152.787	149.898	148.579	145.578	141.264	137.593	134.212	132.791	131.803	130.397	128.979	127.69	126.585	126.182	125.722
S2diaN1B1	3	拿	Verb	0.80193	0.90085	a	0.06467	108.669	115.057	0.90085	0.83618	116.516	115.825	115.134	114.765	114.438	114.11	113.781	113.392	113.004	112.615	112.21	111.718	111.225	110.733	110.255	109.811	109.368	108.924	108.421	107.838
S2diaN1B1	4	了	Aspect	0.90085	0.9725	o	0.035760000000000014	101.067	110.424	0.9680073696145125	0.9420550056087504	108.313	108.915	109.518	110.12	110.019	109.2	108.381	107.562	106.743	105.924	105.104	104.436	103.917	103.397	102.878	102.359	101.839	101.32	101.067	101.067
S2diaN1B1	5	个	Classifier	0.9725	1.04804	o	0.030560000000000143	103.401	104.662	1.04804	1.01748	104.742	104.585	104.467	104.349	104.232	104.114	103.997	103.879	103.762	103.682	103.646	103.609	103.573	103.536	103.5	103.463	103.427	103.366	103.246	103.126
S2diaN1B1	6	篮	Object	1.04804	1.3125	E	0.24614000000000003	89.58	101.754	1.2019027154163893	1.101965087642725	101.766	100.156	100.134	101.474	97.166	95.148	93.889	92.717	92.003	91.307	90.38	89.734	90.876	92.631	94.171	95.591	95.826	95.194	94.001	91.613
S2diaN1B1	7	子	Object(suffix)	1.3125	1.51848	I	0.024920000000000053	96.063	99.745	1.4555073696145127	1.43356	100.348	100.268	100.189	100.109	100.03	99.95	99.871	99.791	99.592	99.225	98.858	98.491	98.124	97.757	97.389	97.022	96.655	96.288	96.063	96.063
S2diaNA1	1	小	Name(prefix)	0.4425	0.6925	yaw	0.07647000000000004	123.955	131.087	0.643179493806055	0.61603	134.726	132.118	129.461	126.772	124.46	124.24	124.02	123.987	124.033	124.137	124.416	124.694	125.84	127.207	128.286	128.816	129.346	128.881	128.297	127.681
S2diaNA1	2	英	Name	0.6925	0.8825	yin	0.18999999999999995	122.952	132.627	0.7558027077899884	0.8636360716934428	127.023	128.067	128.275	126.85	125.866	124.753	123.403	123.128	123.655	124.294	125.165	126.732	127.931	129.095	130.016	129.741	130.486	132.077	132.586	132.244
S2diaNA1	3	捏	Verb	0.8825	1.0025	yE	0.09406999999999999	123.416	127.408	1.0025	0.9269193449927657	127.243	126.882	127.099	127.281	127.354	127.225	126.509	125.661	124.44	123.531	123.464	123.615	124.334	124.987	125.476	125.932	126.307	126.556	126.511	123.594
S2diaNA1	4	了	Aspect	1.0025	1.06557	o	0.03406999999999982	134.175	149.346	1.0619897959183673	1.0315	149.647	149.43	148.496	147.106	145.716	144.326	142.936	141.639	141.114	140.588	140.063	139.537	139.012	138.296	137.454	136.613	135.772	134.931	134.175	134.175
S2diaNA1	5	个	Classifier	1.06557	1.1818	o	0.055989999999999984	95.458	110.005	1.1818	1.1276147959183673	110.005	109.657	108.679	107.701	106.72	105.445	104.169	102.894	101.656	100.437	99.218	98.107	97.235	96.364	95.493	95.611	95.77	95.93	95.384	94.391
S2diaNA1	6	狮	Object	1.1818	1.54595	I	0.1479999999999999	88.409	150.135	1.39795	1.54595	87.182	89.164	90.485	92.284	94.499	97.894	101.627	104.619	106.652	108.978	113.572	119.639	126.457	133.055	137.198	139.937	142.308	144.563	146.8	149.553
S2diaNA1	7	子	Object(suffix)	1.54595	1.70554	I	0.03208999999999995	115.38	122.021	1.69554	1.66345	123.263	123.011	122.759	122.507	122.256	121.985	121.449	120.914	120.378	119.843	119.307	118.757	118.156	117.555	116.954	116.353	115.752	115.133	114.483	113.834
S2diaN1C5	1	小	Name(prefix)	0.32397	0.49577	yaw	0.05530999999999997	116.113	123.466	0.4444727891156463	0.49577	116.113	116.113	116.466	117.108	117.75	118.392	118.961	119.495	120.029	120.564	121.174	121.803	122.432	123.061	123.193	123.286	123.378	123.478	123.708	123.937
S2diaN1C5	2	影	Name	0.49577	0.6389	yin	0.14313000000000003	124.356	131.506	0.49577	0.6389	124.167	124.79	125.812	128.532	128.289	127.011	127.044	127.599	128.282	128.539	128.696	128.746	128.546	128.881	129.413	129.842	130.262	130.632	130.835	131.186
S2diaN1C5	3	买	Verb	0.6389	0.73655	@y	0.06481000000000003	134.532	135.947	0.73655	0.697547222487435	134.704	134.867	135.031	135.222	135.455	135.689	135.904	135.917	135.931	135.944	135.87	135.771	135.673	135.533	135.347	135.161	134.983	134.839	134.695	134.552
S2diaN1C5	4	了	Aspect	0.73655	0.80202	o	0.039529999999999954	115.513	124.564	0.7980442176870749	0.76249	125.195	124.829	124.478	124.164	123.85	123.537	123.223	122.909	122.356	121.763	121.169	120.575	119.982	119.315	118.553	117.791	117.029	116.267	115.513	115.513
S2diaN1C5	5	把	Classifier	0.80202	0.92993	a	0.08586000000000005	95.305	106.161	0.9218337674601088	0.84407	119.222	111.791	105.957	105.117	104.277	103.19	102.02	101.021	100.533	100.045	99.42	98.751	98.125	97.623	97.12	96.55	95.96	95.504	95.415	95.325
S2diaN1C5	6	椅	Object	0.92993	1.18179	i	0.25185999999999986	99.235	161.578	0.92993	1.1647337308776424	96.521	99.93	101.856	102.099	102.132	103.025	104.168	107.763	112.048	115.989	122.768	126.628	130.947	136.127	141.792	148.086	152.299	155.863	159.659	160.702
S2diaN1C5	7	子	Object(suffix)	1.18179	1.37094	I	0.055379999999999985	78.492	93.777	1.3659013605442176	1.31556	94.185	94.034	93.883	93.623	93.105	92.587	92.069	91.47	90.762	90.054	89.345	88.832	88.472	88.113	87.753	86.012	83.648	81.283	78.919	78.492
S2diaD1	1	小	Name(prefix)	0.27567	0.4833	yaw	0.07003999999999999	159.317	166.133	0.43213355866572195	0.47648728491141373	162.0	162.0	161.407	160.656	159.904	159.398	159.767	160.137	160.506	161.011	161.589	162.166	162.741	163.279	163.818	164.356	164.836	165.26	165.684	166.108
S2diaD1	2	映	Name	0.4833	0.75347	in	0.23214	77.844	141.565	0.6916589528803168	0.52133	146.02	138.609	127.765	120.209	106.564	101.061	94.812	86.641	82.784	80.332	79.496	80.428	80.965	79.962	78.595	78.177	79.488	80.734	81.653	81.299
S2diaD1	3	买	Verb	0.75347	0.98077	@y	0.1079	126.243	134.701	0.87287	0.9668578362616076	123.749	125.635	126.63	127.201	127.689	128.029	128.367	128.667	128.967	129.486	130.087	130.664	131.205	131.758	132.432	133.107	133.741	134.364	134.349	133.583
S2diaD1	4	了	Aspect	0.98077	1.04855	o	0.050980000000000136	112.317	127.955	1.04855	0.99757	131.346	130.183	129.02	127.838	126.449	125.06	123.671	122.282	120.947	119.853	118.759	117.665	116.571	115.584	114.878	114.172	113.466	112.76	112.239	112.028
S2diaD1	5	双	Classifier	1.04855	1.23305	waN	0.09057999999999988	111.828	115.979	1.23305	1.1812731413380482	114.925	114.664	114.402	114.282	114.634	114.985	115.309	115.602	115.895	115.841	115.647	115.453	115.047	114.63	114.201	113.722	113.242	112.791	112.377	111.963
S2diaD1	6	袜	Object	1.23305	1.52291	a	0.20724999999999993	91.153	109.261	1.4878470480076482	1.29566	109.793	109.128	107.775	105.879	104.0	102.282	100.779	99.568	99.384	99.037	98.976	98.934	98.167	95.724	94.057	93.153	92.554	91.884	91.174	91.154
S2diaD1	7	子	Object(suffix)	1.52291	1.79966	I	0.12919999999999998	62.428	96.722	1.7675028344671202	1.6527398926541317	96.192	96.379	96.653	96.284	95.699	94.851	93.943	92.038	89.995	88.539	87.094	82.934	78.834	75.483	72.03	67.946	64.68	64.608	64.259	63.16
S2diaND1	1	小	Name(prefix)	0.30437	0.49544	yaw	0.07750999999999997	167.506	175.277	0.42548087221203423	0.4783522421851554	169.261	168.49	167.719	168.349	169.513	170.678	171.113	170.814	170.516	170.346	170.52	170.694	170.925	172.294	173.664	175.033	174.61	173.799	172.988	171.994
S2diaND1	2	映	Name	0.49544	0.68112	in	0.15672999999999992	99.203	156.315	0.617899084015803	0.52439	157.585	150.023	141.131	133.217	126.332	120.442	114.029	108.213	103.785	101.315	99.766	99.382	99.257	99.358	99.861	100.317	100.632	100.935	101.244	101.613
S2diaND1	3	买	Verb	0.68112	0.81532	@y	0.08277000000000001	91.946	96.431	0.8138946167075104	0.7726109780572412	96.427	96.407	96.391	96.38	96.368	96.357	96.348	96.338	96.343	96.376	96.408	96.379	96.218	96.058	95.575	94.337	93.099	92.182	92.096	92.01
S2diaND1	4	了	Aspect	0.81532	0.8815	o	0.04527999999999999	91.584	92.314	0.8584564756551734	0.8799322474737362	92.241	92.241	92.166	92.052	91.938	91.824	91.71	91.611	91.606	91.601	91.596	91.591	91.586	91.666	91.798	91.93	92.062	92.195	92.31	92.267
S2diaND1	5	双	Classifier	0.8815	1.06006	waN	0.09775	114.644	117.604	0.9871154735317921	1.06006	116.871	116.46	115.777	115.117	114.929	114.741	114.831	115.215	115.599	116.015	116.433	116.75	116.896	117.041	116.967	116.844	116.838	117.171	117.504	117.747
S2diaND1	6	袜	Object	1.06006	1.32898	a	0.16647999999999996	86.213	110.335	1.28898	1.1225	111.293	109.307	107.207	105.761	104.274	102.736	101.021	99.37	97.793	97.232	96.405	95.268	93.785	92.217	90.566	89.383	88.418	87.681	86.724	85.631
S2diaND1	7	子	Object(suffix)	1.32898	1.56062	I	0.07805000000000017	77.478	96.221	1.51062	1.43257	101.685	98.494	96.009	95.273	94.536	93.756	92.501	91.247	89.992	89.105	88.266	87.428	86.01	84.316	82.622	81.102	79.774	78.445	76.873	74.653
S2diaND5	1	小	Name(prefix)	0.292	0.47499	yaw	0.07239000000000001	144.502	152.115	0.40380102040816324	0.47499	144.502	144.95	145.62	146.291	146.731	146.333	145.934	145.535	145.283	145.076	144.87	144.912	145.516	146.119	146.723	148.122	149.658	151.194	152.199	152.41
S2diaND5	2	映	Name	0.47499	0.65826	in	0.15032	100.502	143.446	0.6211095193990953	0.50794	146.924	143.797	137.922	132.44	129.521	125.856	121.609	118.118	114.798	111.755	108.933	106.277	104.301	102.514	101.094	100.61	100.795	101.731	102.46	102.391
S2diaND5	3	卖	Verb	0.65826	0.77312	@y	0.05490000000000006	80.742	82.695	0.7608641456859221	0.77312	84.102	83.737	83.372	83.007	82.681	82.587	82.492	82.398	82.303	82.141	81.931	81.721	81.512	81.305	81.18	81.056	80.931	80.806	81.61	83.403
S2diaND5	4	了	Aspect	0.77312	0.83796	o	0.04203000000000001	90.258	91.342	0.79593	0.83796	89.73	89.871	90.012	90.153	90.279	90.361	90.444	90.527	90.61	90.692	90.78	90.88	90.979	91.079	91.179	91.278	91.342	91.342	91.342	91.342
S2diaND5	5	双	Classifier	0.83796	1.03167	waN	0.10091000000000006	107.426	116.895	0.9618536430019042	1.0268074414962847	112.24	111.534	110.828	109.666	108.46	107.715	107.573	107.432	108.228	109.068	110.073	111.258	112.443	113.352	114.262	115.036	115.685	116.316	116.554	116.792
S2diaND5	6	袜	Object	1.03167	1.26295	a	0.1573	87.24	106.238	1.2413010204081634	1.08565	107.479	105.72	103.881	102.156	100.57	99.738	99.158	98.815	98.586	98.235	97.627	97.066	96.532	96.06	95.231	94.131	93.221	92.24	91.138	89.068
S2diaND5	7	子	Object(suffix)	1.26295	1.51065	I	0.11606000000000005	65.477	93.032	1.484681545622627	1.39459	93.92	93.36	92.717	91.952	91.15	90.239	89.223	87.314	85.406	83.599	81.797	80.583	79.518	75.063	68.721	65.571	65.764	65.886	65.867	65.693
S2diaN1C1	1	小	Name(prefix)	0.24858	0.46293	yaw	0.060429999999999984	124.974	136.488	0.41239354088090613	0.46293	125.489	125.489	125.386	125.22	125.054	125.665	127.002	128.338	129.512	130.454	131.396	132.307	133.149	133.991	134.732	135.085	135.438	135.779	136.015	136.252
S2diaN1C1	2	影	Name	0.46293	0.6405	yin	0.17756999999999995	141.956	154.511	0.46293	0.6405	136.493	141.671	147.752	148.025	147.665	147.959	149.688	151.348	151.892	152.562	153.178	152.613	151.78	152.025	152.704	152.829	153.041	153.507	154.127	154.508
S2diaN1C1	3	买	Verb	0.6405	0.75098	@y	0.06777999999999995	148.074	157.831	0.6864333476521476	0.734213656691061	149.447	148.461	149.228	151.13	153.032	154.088	154.983	155.83	156.079	156.328	156.601	156.929	157.256	157.49	157.643	157.797	157.678	157.481	157.279	156.496
S2diaN1C1	4	了	Aspect	0.75098	0.8229	o	0.04177999999999993	127.189	146.739	0.8229	0.78112	146.842	146.476	146.119	145.762	145.406	144.833	143.61	142.387	141.164	139.94	138.739	137.544	136.349	135.154	133.854	132.273	130.691	129.11	127.529	123.92
S2diaN1C1	5	把	Classifier	0.8229	0.9468	a	0.06933	107.633	120.469	0.9468	0.87747	121.545	121.036	120.527	119.541	118.495	117.382	115.974	114.566	113.347	112.335	111.324	110.403	109.508	108.651	108.303	107.956	107.721	107.684	107.646	107.143
S2diaN1C1	6	椅	Object	0.9468	1.17328	i	0.22648000000000013	105.612	179.834	0.9551488169885277	1.151209834067816	106.4	105.614	108.326	112.416	115.346	116.431	118.787	121.167	121.753	124.831	129.107	133.802	140.026	149.577	159.177	169.028	175.48	177.581	179.75	176.849
S2diaN1C1	7	子	Object(suffix)	1.17328	1.34701	I	0.014510000000000023	88.346	96.351	1.316045918367347	1.3025	96.577	96.538	96.498	96.459	96.42	96.381	96.196	95.576	94.957	94.337	93.718	93.098	92.479	91.859	91.24	90.621	90.001	89.382	88.762	88.346
S2diaD5	1	小	Name(prefix)	0.27758	0.44402	yaw	0.055290000000000006	158.875	163.76	0.42141756862833785	0.38873	174.6	172.045	169.49	166.935	164.38	163.028	162.061	161.094	160.127	159.361	159.248	159.134	159.021	158.908	159.252	159.78	160.308	160.836	161.416	162.213
S2diaD5	2	映	Name	0.44402	0.61474	in	0.14591999999999994	109.854	155.165	0.61474	0.46882	158.661	154.947	152.524	149.858	146.791	142.99	138.818	136.47	134.477	133.317	131.136	128.026	124.624	121.154	117.682	114.884	113.168	111.787	110.57	110.147
S2diaD5	3	卖	Verb	0.61474	0.78807	@y	0.1354700000000001	90.965	100.978	0.7181050985520029	0.6526	102.204	101.403	100.727	100.194	98.645	96.488	94.707	93.032	91.931	90.974	91.077	91.293	91.864	92.237	92.313	92.348	92.35	92.689	93.169	94.415
S2diaD5	4	了	Aspect	0.78807	0.8882	o	0.06879000000000002	109.664	110.576	0.81941	0.8402663929183094	109.097	109.898	110.51	110.53	110.549	110.568	110.57	110.562	110.553	110.544	110.499	110.453	110.407	110.327	110.183	110.039	109.895	109.816	109.764	109.713
S2diaD5	5	双	Classifier	0.8882	1.14558	waN	0.16318	97.317	115.551	1.0265775500828254	1.14558	109.504	108.218	104.182	101.014	98.577	97.591	97.813	98.738	100.674	103.326	106.015	106.4	107.73	109.643	110.623	111.571	112.489	113.848	114.871	115.509
S2diaD5	6	袜	Object	1.14558	1.40769	a	0.1895	89.05	110.237	1.38769	1.19819	110.663	108.863	106.868	104.623	102.284	100.763	99.937	99.659	99.488	99.019	98.399	97.582	96.346	94.618	93.094	91.929	91.231	90.617	89.764	88.821
S2diaD5	7	子	Object(suffix)	1.40769	1.67715	I	0.09323999999999999	61.589	85.618	1.60649329807786	1.5446480940369356	84.848	85.029	85.3	85.572	85.591	85.607	85.485	85.052	84.618	83.835	82.842	81.848	79.253	76.561	73.306	68.464	63.622	61.639	61.724	61.809
S2diaNA5	1	小	Name(prefix)	0.36813	0.55328	yaw	0.07647999999999999	127.348	141.794	0.5036752462103447	0.48070011337868473	141.794	141.794	141.239	140.673	137.7	132.578	127.871	128.136	128.402	128.207	127.737	127.365	127.465	127.564	129.595	132.369	134.434	134.588	134.742	137.341
S2diaNA5	2	英	Name	0.55328	0.68904	yin	0.13576	134.948	146.462	0.68904	0.5926876841530059	140.482	142.769	143.057	142.847	142.902	144.22	146.085	142.915	142.123	142.255	142.526	142.685	142.473	142.21	142.687	142.129	141.0	139.403	137.44	135.891
S2diaNA5	3	捏	Verb	0.68904	0.84343	yE	0.12524999999999997	125.954	137.727	0.71818	0.8211884257375514	123.603	125.951	126.102	126.779	127.982	129.702	131.935	134.642	135.246	134.817	133.417	132.477	131.428	130.38	133.693	136.129	137.717	137.353	136.173	134.274
S2diaNA5	5	个	Classifier	0.84343	0.93568	o	0.026509999999999923	104.776	112.974	0.92568	0.89917	113.242	113.138	113.034	112.733	112.174	111.615	111.056	110.497	109.937	109.378	108.804	108.204	107.604	107.004	106.404	105.804	105.204	104.728	104.559	104.391
S2diaNA5	6	狮	Object	0.93568	1.27721	I	0.12985999999999986	91.613	129.797	1.14735	1.27721	89.748	91.198	93.545	96.298	99.174	101.555	103.743	105.788	109.285	113.667	118.859	124.142	127.665	129.675	129.77	129.248	128.399	127.319	126.4	127.733
S2diaNA5	7	子	Object(suffix)	1.27721	1.43507	I	0.044850000000000056	109.911	115.138	1.40507	1.3780423810945697	110.645	110.858	111.789	112.72	113.65	114.544	114.687	114.831	114.975	115.119	114.687	114.166	113.646	113.126	112.462	111.732	111.002	110.272	109.58	108.927
S2diaN1B5	1	小	Name(prefix)	0.29652	0.51047	yaw	0.06677	115.929	120.016	0.48262425082380284	0.51047	116.419	116.297	116.175	116.052	115.93	116.164	116.401	116.638	116.875	116.88	116.651	116.422	116.193	115.969	116.87	117.772	118.673	119.575	120.215	120.605
S2diaN1B5	2	银	Name	0.51047	0.65156	in	0.11031000000000002	105.071	118.156	0.65156	0.54125	119.43	118.226	116.996	115.764	114.565	113.482	112.399	111.697	111.372	111.047	110.518	109.932	109.337	108.61	107.882	107.11	106.252	105.394	104.673	104.036
S2diaN1B5	3	拿	Verb	0.65156	0.74591	a	0.06491999999999998	90.504	100.633	0.74591	0.68099	100.845	99.84	98.643	97.445	96.248	95.085	94.724	94.363	94.003	93.642	93.311	93.02	92.729	92.439	92.148	91.815	91.472	91.129	90.786	90.442
S2diaN1B5	4	了	Aspect	0.74591	0.8225	o	0.044580000000000064	90.725	91.254	0.77792	0.7913333730199531	90.557	90.726	90.896	91.065	91.235	91.212	91.165	91.118	91.071	91.024	90.977	90.933	90.901	90.87	90.838	90.806	90.775	90.743	90.725	90.725
S2diaN1B5	5	个	Classifier	0.8225	0.92479	o	0.016059999999999963	79.625	79.625	0.92479	0.90873	81.499	81.386	81.273	81.161	81.048	80.935	80.823	80.71	80.597	80.485	80.372	80.259	80.147	80.034	79.921	79.809	79.696	79.609	79.565	79.521
S2diaN1B5	6	篮	Object	0.92479	1.24402	E	0.2824199999999999	72.003	81.506	1.24402	0.9797159328389272	80.549	81.445	81.363	79.704	77.401	76.779	77.276	77.921	77.974	78.003	78.385	78.238	77.874	78.572	78.687	77.994	77.189	75.906	74.342	72.784
S2diaN1B5	7	子	Object(suffix)	1.24402	1.54024	I	0.10766000000000009	67.233	89.078	1.4770861678004537	1.37258	89.696	89.467	89.237	89.07	89.044	89.017	88.711	88.146	87.58	86.337	84.845	83.353	80.528	77.627	75.195	75.251	75.306	74.258	71.348	68.438
S2diaA5	1	小	Name(prefix)	0.31256	0.48917	yaw	0.06670999999999999	162.735	170.613	0.4453609886792145	0.48917	167.731	167.682	166.255	164.828	163.859	163.286	162.738	162.83	162.922	163.451	164.352	165.239	165.82	166.401	167.24	168.296	169.328	169.851	170.375	170.676
S2diaA5	2	英	Name	0.48917	0.59928	yin	0.11011000000000004	170.899	177.559	0.59928	0.5765450013953308	170.79	171.075	171.492	171.449	171.684	172.415	172.689	173.149	174.032	174.442	174.79	175.176	175.457	175.868	176.61	177.182	177.46	177.113	175.424	173.133
S2diaA5	3	捏	Verb	0.59928	0.73866	yE	0.09385999999999994	152.537	173.2	0.6627787282504565	0.7308418942357158	158.902	159.247	156.475	152.647	152.725	153.1	154.217	155.328	156.432	157.528	158.621	159.81	161.112	163.377	165.418	166.972	168.887	171.106	172.305	173.191
S2diaA5	4	了	Aspect	0.73866	0.79713	o	0.02917000000000003	184.315	196.781	0.79713	0.7750158122253424	194.549	194.971	195.393	195.814	196.236	196.657	196.37	195.788	195.207	194.625	194.044	193.462	191.869	190.269	188.669	187.068	185.468	183.585	180.972	178.359
S2diaA5	5	个	Classifier	0.79713	0.89519	o	0.04566999999999999	115.278	133.108	0.89519	0.84952	133.232	133.001	132.781	132.562	132.343	131.932	131.485	131.037	130.534	129.796	129.058	128.32	127.313	126.082	124.85	123.619	121.476	119.226	116.976	115.208
S2diaA5	6	狮	Object	0.89519	1.27583	I	0.15399000000000007	98.29	153.229	1.123814723328641	1.245018860801809	98.435	98.672	99.322	100.513	102.76	104.177	106.203	110.317	115.613	122.845	129.677	134.85	139.189	143.753	148.625	152.141	153.102	152.524	151.52	151.02
